id,t,sp,unit,r_flw,f_flw,rpm_cmd,rpm_sp,sps,top,cal%,vol_uL,mass_g,pumpOn,port
2,1225162,37,rpm,0,0,36.5,36.5,3893,500,0,0,0.0,1,COM7
3,1171247,36,rpm,0,0,36.4,36.4,3883,502,0,0,0.0,1,COM6
1,984938,37,rpm,0,0,36.5,36.5,3893,500,0,0,0.0,1,COM8
2,1225183,37,rpm,-54,0,36.5,36.5,3893,500,0,0,0.0,1,COM7
3,1171268,36,rpm,0,0,36.4,36.4,3883,502,0,0,0.0,1,COM6
1,984959,37,rpm,-41,0,36.5,36.5,3893,500,0,0,0.0,1,COM8
2,1225204,37,rpm,1255,0,36.5,36.5,3893,500,0,0,0.0,1,COM7
1,984979,37,rpm,1102,0,36.5,36.5,3893,500,0,0,0.0,1,COM8
3,1171289,36,rpm,2,0,36.4,36.4,3883,502,0,0,0.0,1,COM6
2,1225225,37,rpm,778,0,36.5,36.5,3893,500,0,0,0.0,1,COM7
1,985000,37,rpm,1058,0,36.5,36.5,3893,500,0,0,0.0,1,COM8
3,1171309,36,rpm,24,0,36.4,36.4,3883,502,0,0,0.0,1,COM6
2,1225246,37,rpm,612,0,36.5,36.5,3893,500,0,0,0.0,1,COM7
1,985020,37,rpm,932,0,36.5,36.5,3893,500,0,0,0.0,1,COM8
3,1171330,36,rpm,188,0,36.4,36.4,3883,502,0,0,0.0,1,COM6
2,1225266,37,rpm,503,0,36.5,36.5,3893,500,0,0,0.0,1,COM7
1,985041,37,rpm,940,0,36.5,36.5,3893,500,0,0,0.0,1,COM8
3,1171350,36,rpm,559,0,36.4,36.4,3883,502,0,0,0.0,1,COM6
2,1225287,37,rpm,269,0,36.5,36.5,3893,500,0,0,0.0,1,COM7
1,985061,37,rpm,1356,0,36.5,36.5,3893,500,0,0,0.0,1,COM8
3,1171371,36,rpm,739,0,36.4,36.4,3883,502,0,0,0.0,1,COM6
2,1225307,37,rpm,-451,0,36.5,36.5,3893,500,0,0,0.0,1,COM7
1,985082,37,rpm,1371,0,36.5,36.5,3893,500,0,0,0.0,1,COM8
3,1171391,36,rpm,842,0,36.4,36.4,3883,502,0,0,0.0,1,COM6
2,1225328,37,rpm,57,0,36.5,36.5,3893,500,0,0,0.0,1,COM7
3,1171411,36,rpm,704,0,36.4,36.4,3883,502,0,0,0.0,1,COM6
1,985102,37,rpm,980,0,36.5,36.5,3893,500,0,0,0.0,1,COM8
2,1225348,37,rpm,420,0,36.5,36.5,3893,500,0,0,0.0,1,COM7
3,1171432,36,rpm,525,0,36.4,36.4,3883,502,0,0,0.0,1,COM6
