id,t,sp,unit,r_flw,f_flw,rpm_cmd,rpm_sp,sps,top,cal%,vol_uL,mass_g,pumpOn,port
2,263072,37,rpm,-26,457,36.7,36.7,3915,497,0,1266,1.228,1,COM7
1,255184,36,rpm,675,434,36.3,36.3,3872,503,0,1208,1.172,1,COM6
1,255205,36,rpm,-524,434,36.3,36.3,3872,503,0,1208,1.172,1,COM6
2,263093,37,rpm,-241,457,36.7,36.7,3915,497,0,1266,1.228,1,COM7
1,255226,36,rpm,-860,434,36.3,36.3,3872,503,0,1208,1.172,1,COM6
2,263113,37,rpm,136,457,36.7,36.7,3915,497,0,1266,1.228,1,COM7
1,255246,36,rpm,-200,434,36.3,36.3,3872,503,0,1209,1.172,1,COM6
2,263134,37,rpm,665,457,36.7,36.7,3915,497,0,1266,1.228,1,COM7
1,255267,36,rpm,138,434,36.3,36.3,3872,503,0,1209,1.172,1,COM6
2,263155,37,rpm,600,456,36.7,36.7,3915,497,0,1266,1.228,1,COM7
1,255288,36,rpm,545,434,36.3,36.3,3872,503,0,1209,1.173,1,COM6
2,263176,37,rpm,906,456,36.7,36.7,3915,497,0,1266,1.228,1,COM7
1,255309,36,rpm,732,434,36.3,36.3,3872,503,0,1209,1.173,1,COM6
2,263197,37,rpm,886,456,36.7,36.7,3915,497,0,1266,1.228,1,COM7
1,255329,36,rpm,813,434,36.3,36.3,3872,503,0,1209,1.173,1,COM6
2,263218,37,rpm,615,456,36.7,36.7,3915,497,0,1267,1.229,1,COM7
1,255350,36,rpm,684,434,36.3,36.3,3872,503,0,1209,1.173,1,COM6
2,263238,37,rpm,604,456,36.7,36.7,3915,497,0,1267,1.229,1,COM7
1,255371,36,rpm,787,434,36.3,36.3,3872,503,0,1209,1.173,1,COM6
2,263259,37,rpm,647,456,36.7,36.7,3915,497,0,1267,1.229,1,COM7
1,255391,36,rpm,1083,434,36.3,36.3,3872,503,0,1210,1.173,1,COM6
2,263280,37,rpm,441,456,36.7,36.7,3915,497,0,1267,1.229,1,COM7
2,263301,37,rpm,331,456,36.7,36.7,3915,497,0,1267,1.229,1,COM7
1,255412,36,rpm,1198,434,36.3,36.3,3872,503,0,1210,1.173,1,COM6
1,255432,36,rpm,922,434,36.3,36.3,3872,503,0,1210,1.174,1,COM6
2,263321,37,rpm,236,456,36.7,36.7,3915,497,0,1267,1.229,1,COM7
2,263342,37,rpm,-372,456,36.7,36.7,3915,497,0,1268,1.23,1,COM7
1,255453,36,rpm,385,434,36.3,36.3,3872,503,0,1210,1.174,1,COM6
1,255474,36,rpm,-942,434,36.3,36.3,3872,503,0,1210,1.174,1,COM6
2,263363,37,rpm,44,456,36.7,36.7,3915,497,0,1268,1.23,1,COM7
1,255494,36,rpm,-745,434,36.3,36.3,3872,503,0,1210,1.174,1,COM6
2,263383,37,rpm,447,456,36.7,36.7,3915,497,0,1268,1.23,1,COM7
1,255515,36,rpm,-103,434,36.3,36.3,3872,503,0,1210,1.174,1,COM6
2,263404,37,rpm,695,456,36.7,36.7,3915,497,0,1268,1.23,1,COM7
1,255536,36,rpm,222,434,36.3,36.3,3872,503,0,1211,1.174,1,COM6
2,263425,37,rpm,764,456,36.7,36.7,3915,497,0,1268,1.23,1,COM7
1,255556,36,rpm,628,434,36.3,36.3,3872,503,0,1211,1.174,1,COM6
2,263445,37,rpm,896,456,36.7,36.7,3915,497,0,1268,1.23,1,COM7
1,255577,36,rpm,711,434,36.3,36.3,3872,503,0,1211,1.175,1,COM6
2,263466,37,rpm,751,456,36.7,36.7,3915,497,0,1269,1.23,1,COM7
1,255597,36,rpm,745,434,36.3,36.3,3872,503,0,1211,1.175,1,COM6
2,263487,37,rpm,617,456,36.7,36.7,3915,497,0,1269,1.231,1,COM7
1,255618,36,rpm,792,434,36.3,36.3,3872,503,0,1211,1.175,1,COM6
2,263507,37,rpm,580,456,36.7,36.7,3915,497,0,1269,1.231,1,COM7
1,255639,36,rpm,815,434,36.3,36.3,3872,503,0,1211,1.175,1,COM6
2,263528,37,rpm,501,456,36.7,36.7,3915,497,0,1269,1.231,1,COM7
2,263549,37,rpm,412,456,36.7,36.7,3915,497,0,1269,1.231,1,COM7
1,255659,36,rpm,1066,434,36.3,36.3,3872,503,0,1211,1.175,1,COM6
1,255680,36,rpm,1347,434,36.3,36.3,3872,503,0,1212,1.175,1,COM6
