id,t,sp,unit,r_flw,f_flw,rpm_cmd,rpm_sp,sps,top,cal%,vol_uL,mass_g,pumpOn,port
2,319593,37,rpm,0,0,0.0,36.8,0,0,0,1,0.001,0,COM7
1,317056,36,rpm,0,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319613,37,rpm,0,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317077,36,rpm,-521,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319634,37,rpm,-51,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317097,36,rpm,1723,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319655,37,rpm,1418,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317118,36,rpm,1295,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319676,37,rpm,1185,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317138,36,rpm,453,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319696,37,rpm,896,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317159,36,rpm,-973,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319717,37,rpm,871,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317179,36,rpm,-421,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319737,37,rpm,774,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317200,36,rpm,-40,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319758,37,rpm,591,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317220,36,rpm,407,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319778,37,rpm,484,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317241,36,rpm,683,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319799,37,rpm,341,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317261,36,rpm,844,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319820,37,rpm,-58,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317282,36,rpm,1044,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319840,37,rpm,-222,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317302,36,rpm,885,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319861,37,rpm,147,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317323,36,rpm,973,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319881,37,rpm,640,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317343,36,rpm,1450,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319902,37,rpm,789,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317364,36,rpm,1317,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319923,37,rpm,1087,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317384,36,rpm,757,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319943,37,rpm,1005,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317405,36,rpm,-368,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319964,37,rpm,730,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317425,36,rpm,-1057,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,319984,37,rpm,700,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317445,36,rpm,-161,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,320005,37,rpm,673,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317466,36,rpm,60,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,320025,37,rpm,518,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317486,36,rpm,597,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,320046,37,rpm,359,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,317507,36,rpm,730,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
