id,t,sp,unit,r_flw,f_flw,rpm_cmd,rpm_sp,sps,top,cal%,vol_uL,mass_g,pumpOn,port
2,131635,37,rpm,0,0,0.0,36.8,0,0,0,0,0.0,0,COM7
1,128518,36,rpm,0,0,0.0,36.3,0,0,0,0,0.0,0,COM6
1,128538,36,rpm,0,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,131655,37,rpm,0,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128559,36,rpm,3,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,131677,37,rpm,-237,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128580,36,rpm,358,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,131697,37,rpm,1234,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128600,36,rpm,990,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,131718,37,rpm,809,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128620,36,rpm,847,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,131738,37,rpm,829,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128641,36,rpm,1032,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,131759,37,rpm,743,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128661,36,rpm,897,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,131780,37,rpm,508,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128682,36,rpm,845,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,131800,37,rpm,357,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128702,36,rpm,1343,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,131821,37,rpm,-106,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128723,36,rpm,1398,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,131841,37,rpm,-158,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128743,36,rpm,886,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,131862,37,rpm,168,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128764,36,rpm,428,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,131882,37,rpm,666,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
2,131903,37,rpm,872,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128784,36,rpm,-1170,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,131923,37,rpm,1014,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128805,36,rpm,-552,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,131944,37,rpm,941,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128825,36,rpm,-64,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
1,128845,36,rpm,221,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,131965,37,rpm,836,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128866,36,rpm,667,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,131985,37,rpm,725,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128886,36,rpm,765,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,132006,37,rpm,615,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128907,36,rpm,870,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,132026,37,rpm,545,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128927,36,rpm,914,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,132047,37,rpm,400,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128948,36,rpm,906,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,132068,37,rpm,243,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128968,36,rpm,1253,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,132088,37,rpm,-390,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
2,132109,37,rpm,68,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,128988,36,rpm,1391,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,132129,37,rpm,392,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,129009,36,rpm,772,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
1,129029,36,rpm,337,1,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,132150,37,rpm,700,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,129050,36,rpm,-1636,1,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,132170,37,rpm,982,1,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,129070,36,rpm,-216,1,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,132191,37,rpm,1029,1,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,129091,36,rpm,-41,1,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,132212,37,rpm,770,1,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,129111,36,rpm,439,1,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,132232,37,rpm,746,1,36.8,36.8,3925,496,0,0,0.0,1,COM7
