id,t,sp,unit,r_flw,f_flw,rpm_cmd,rpm_sp,sps,top,cal%,vol_uL,mass_g,pumpOn,port
1,213425,36,rpm,0,0,0.0,36.3,0,0,0,52,0.051,0,COM6
2,215162,37,rpm,0,0,0.0,36.8,0,0,0,55,0.053,0,COM7
3,683482,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM9
1,213445,36,rpm,0,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,215183,37,rpm,0,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
3,683504,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM9
1,213467,36,rpm,955,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,215204,37,rpm,-158,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
3,683524,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM9
1,213487,36,rpm,744,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,215225,37,rpm,1256,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
3,683544,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM9
1,213508,36,rpm,1109,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,215245,37,rpm,883,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
3,683565,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM9
1,213528,36,rpm,902,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,215266,37,rpm,790,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
3,683585,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM9
1,213549,36,rpm,820,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,215286,37,rpm,665,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
3,683606,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM9
1,213569,36,rpm,1136,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,215307,37,rpm,490,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
3,683626,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM9
1,213589,36,rpm,1272,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
3,683647,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM9
1,213610,36,rpm,1268,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
