id,t,sp,unit,r_flw,f_flw,rpm_cmd,rpm_sp,sps,top,cal%,vol_uL,mass_g,pumpOn,port
1,39765,37,rpm,1,1,0.0,36.5,0,0,0,0,0.0,0,COM6
2,104614,37,rpm,0,0,0.0,36.6,0,0,0,0,0.0,0,COM7
1,39785,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,104634,37,rpm,0,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,39806,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,104655,37,rpm,-158,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,39826,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,104676,37,rpm,1331,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
2,104697,37,rpm,974,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,39847,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,104717,37,rpm,781,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
2,104738,37,rpm,817,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,39868,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,104758,37,rpm,641,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,39888,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,104779,37,rpm,419,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,39908,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
1,39929,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,104799,37,rpm,371,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,39949,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,104820,37,rpm,-220,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,39970,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,104840,37,rpm,-62,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,39990,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,104861,37,rpm,191,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40011,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,104881,37,rpm,669,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40031,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,104902,37,rpm,759,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40071,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,104922,37,rpm,1126,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
2,104943,37,rpm,961,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40092,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,104964,37,rpm,721,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40113,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
1,40133,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,104984,37,rpm,752,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
2,105005,37,rpm,643,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40153,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
1,40174,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105025,37,rpm,497,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40194,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105046,37,rpm,412,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40215,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105066,37,rpm,248,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
2,105087,37,rpm,-329,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40235,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
1,40256,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105107,37,rpm,46,0,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40276,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105128,37,rpm,418,1,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40297,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105148,37,rpm,649,1,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40317,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105169,37,rpm,962,1,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40338,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105189,37,rpm,1032,1,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40358,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105210,37,rpm,748,1,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40378,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105230,37,rpm,766,1,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40399,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105251,37,rpm,692,1,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40419,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105271,37,rpm,525,1,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40440,37,rpm,0,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105292,37,rpm,490,1,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40460,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105313,37,rpm,349,1,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40481,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105333,37,rpm,-39,2,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40501,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105354,37,rpm,-207,2,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40522,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
1,40542,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105393,37,rpm,335,2,36.6,36.6,3904,499,0,0,0.0,1,COM7
2,105414,37,rpm,836,2,36.6,36.6,3904,499,0,0,0.0,1,COM7
1,40563,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
1,40583,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM6
2,105435,37,rpm,954,2,36.6,36.6,3904,499,0,0,0.0,1,COM7
