id,t,sp,unit,r_flw,f_flw,rpm_cmd,rpm_sp,sps,top,cal%,vol_uL,mass_g,pumpOn,port
2,337817,37,rpm,672,467,36.8,36.8,3925,496,0,118,0.114,1,COM7
2,337839,37,rpm,671,467,36.8,36.8,3925,496,0,118,0.115,1,COM7
2,337860,37,rpm,590,467,36.8,36.8,3925,496,0,118,0.115,1,COM7
2,337880,37,rpm,467,467,36.8,36.8,3925,496,0,118,0.115,1,COM7
2,337901,37,rpm,369,467,36.8,36.8,3925,496,0,119,0.115,1,COM7
2,337922,37,rpm,238,467,36.8,36.8,3925,496,0,119,0.115,1,COM7
2,337942,37,rpm,-390,467,36.8,36.8,3925,496,0,119,0.115,1,COM7
2,337963,37,rpm,53,467,36.8,36.8,3925,496,0,119,0.116,1,COM7
2,337984,37,rpm,392,467,36.8,36.8,3925,496,0,119,0.116,1,COM7
2,338005,37,rpm,717,467,36.8,36.8,3925,496,0,119,0.116,1,COM7
2,338025,37,rpm,795,466,36.8,36.8,3925,496,0,120,0.116,1,COM7
2,338046,37,rpm,863,466,36.8,36.8,3925,496,0,120,0.116,1,COM7
2,338067,37,rpm,766,466,36.8,36.8,3925,496,0,120,0.116,1,COM7
2,338087,37,rpm,660,466,36.8,36.8,3925,496,0,120,0.116,1,COM7
2,338108,37,rpm,566,466,36.8,36.8,3925,496,0,120,0.117,1,COM7
2,338129,37,rpm,547,466,36.8,36.8,3925,496,0,120,0.117,1,COM7
2,338150,37,rpm,421,466,36.8,36.8,3925,496,0,121,0.117,1,COM7
2,338170,37,rpm,277,466,36.8,36.8,3925,496,0,121,0.117,1,COM7
2,338191,37,rpm,-191,466,36.8,36.8,3925,496,0,121,0.117,1,COM7
2,338212,37,rpm,-122,466,36.8,36.8,3925,496,0,121,0.117,1,COM7
2,338232,37,rpm,176,466,36.8,36.8,3925,496,0,121,0.118,1,COM7
2,338253,37,rpm,607,466,36.8,36.8,3925,496,0,121,0.118,1,COM7
2,338274,37,rpm,865,466,36.8,36.8,3925,496,0,122,0.118,1,COM7
2,338294,37,rpm,948,466,36.8,36.8,3925,496,0,122,0.118,1,COM7
2,338315,37,rpm,662,466,36.8,36.8,3925,496,0,122,0.118,1,COM7
2,338336,37,rpm,707,466,36.8,36.8,3925,496,0,122,0.118,1,COM7
2,338357,37,rpm,674,466,36.8,36.8,3925,496,0,122,0.119,1,COM7
2,338377,37,rpm,516,466,36.8,36.8,3925,496,0,122,0.119,1,COM7
2,338398,37,rpm,436,466,36.8,36.8,3925,496,0,123,0.119,1,COM7
2,338419,37,rpm,359,466,36.8,36.8,3925,496,0,123,0.119,1,COM7
2,338440,37,rpm,23,466,36.8,36.8,3925,496,0,123,0.119,1,COM7
2,338460,37,rpm,-277,466,36.8,36.8,3925,496,0,123,0.119,1,COM7
2,338481,37,rpm,122,466,36.8,36.8,3925,496,0,123,0.119,1,COM7
2,338502,37,rpm,626,465,36.8,36.8,3925,496,0,123,0.12,1,COM7
2,338523,37,rpm,692,465,36.8,36.8,3925,496,0,123,0.12,1,COM7
2,338543,37,rpm,923,465,36.8,36.8,3925,496,0,124,0.12,1,COM7
2,338564,37,rpm,876,465,36.8,36.8,3925,496,0,124,0.12,1,COM7
2,338585,37,rpm,696,465,36.8,36.8,3925,496,0,124,0.12,1,COM7
2,338605,37,rpm,607,465,36.8,36.8,3925,496,0,124,0.12,1,COM7
2,338626,37,rpm,619,465,36.8,36.8,3925,496,0,124,0.121,1,COM7
2,338647,37,rpm,457,465,36.8,36.8,3925,496,0,124,0.121,1,COM7
2,338667,37,rpm,313,465,36.8,36.8,3925,496,0,125,0.121,1,COM7
2,338688,37,rpm,115,465,36.8,36.8,3925,496,0,125,0.121,1,COM7
2,338709,37,rpm,-335,465,36.8,36.8,3925,496,0,125,0.121,1,COM7
2,338730,37,rpm,93,465,36.8,36.8,3925,496,0,125,0.121,1,COM7
2,338750,37,rpm,509,465,36.8,36.8,3925,496,0,125,0.121,1,COM7
2,338771,37,rpm,753,465,36.8,36.8,3925,496,0,125,0.122,1,COM7
2,338792,37,rpm,889,465,36.8,36.8,3925,496,0,126,0.122,1,COM7
2,338812,37,rpm,757,465,36.8,36.8,3925,496,0,126,0.122,1,COM7
2,338833,37,rpm,723,465,36.8,36.8,3925,496,0,126,0.122,1,COM7
2,338854,37,rpm,690,465,36.8,36.8,3925,496,0,126,0.122,1,COM7
2,338875,37,rpm,564,465,36.8,36.8,3925,496,0,126,0.122,1,COM7
2,338895,37,rpm,468,465,36.8,36.8,3925,496,0,126,0.123,1,COM7
2,338916,37,rpm,403,465,36.8,36.8,3925,496,0,127,0.123,1,COM7
2,338937,37,rpm,240,465,36.8,36.8,3925,496,0,127,0.123,1,COM7
2,338957,37,rpm,-386,465,36.8,36.8,3925,496,0,127,0.123,1,COM7
2,338978,37,rpm,40,465,36.8,36.8,3925,496,0,127,0.123,1,COM7
2,338999,37,rpm,360,465,36.8,36.8,3925,496,0,127,0.123,1,COM7
2,339020,37,rpm,688,465,36.8,36.8,3925,496,0,127,0.124,1,COM7
2,339040,37,rpm,812,465,36.8,36.8,3925,496,0,127,0.124,1,COM7
2,339061,37,rpm,945,465,36.8,36.8,3925,496,0,128,0.124,1,COM7
2,339082,37,rpm,679,465,36.8,36.8,3925,496,0,128,0.124,1,COM7
2,339102,37,rpm,644,464,36.8,36.8,3925,496,0,128,0.124,1,COM7
2,339123,37,rpm,670,464,36.8,36.8,3925,496,0,128,0.124,1,COM7
2,339144,37,rpm,515,464,36.8,36.8,3925,496,0,128,0.124,1,COM7
2,339165,37,rpm,394,464,36.8,36.8,3925,496,0,128,0.125,1,COM7
2,339185,37,rpm,334,464,36.8,36.8,3925,496,0,129,0.125,1,COM7
2,339206,37,rpm,-78,464,36.8,36.8,3925,496,0,129,0.125,1,COM7
2,339227,37,rpm,-202,464,36.8,36.8,3925,496,0,129,0.125,1,COM7
2,339247,37,rpm,135,464,36.8,36.8,3925,496,0,129,0.125,1,COM7
2,339268,37,rpm,643,464,36.8,36.8,3925,496,0,129,0.125,1,COM7
2,339289,37,rpm,718,464,36.8,36.8,3925,496,0,129,0.126,1,COM7
2,339310,37,rpm,882,464,36.8,36.8,3925,496,0,130,0.126,1,COM7
2,339330,37,rpm,866,464,36.8,36.8,3925,496,0,130,0.126,1,COM7
2,339351,37,rpm,671,464,36.8,36.8,3925,496,0,130,0.126,1,COM7
2,339372,37,rpm,604,464,36.8,36.8,3925,496,0,130,0.126,1,COM7
