id,t,sp,unit,r_flw,f_flw,rpm_cmd,rpm_sp,sps,top,cal%,vol_uL,mass_g,pumpOn,port
1,335279,36,rpm,-1892,443,36.3,36.3,3872,503,0,111,0.108,1,COM6
1,335300,36,rpm,-135,443,36.3,36.3,3872,503,0,111,0.108,1,COM6
1,335321,36,rpm,87,443,36.3,36.3,3872,503,0,111,0.108,1,COM6
1,335341,36,rpm,616,443,36.3,36.3,3872,503,0,112,0.108,1,COM6
1,335362,36,rpm,647,443,36.3,36.3,3872,503,0,112,0.108,1,COM6
1,335382,36,rpm,764,443,36.3,36.3,3872,503,0,112,0.109,1,COM6
1,335403,36,rpm,804,443,36.3,36.3,3872,503,0,112,0.109,1,COM6
1,335423,36,rpm,731,443,36.3,36.3,3872,503,0,112,0.109,1,COM6
1,335444,36,rpm,883,443,36.3,36.3,3872,503,0,112,0.109,1,COM6
1,335465,36,rpm,1396,442,36.3,36.3,3872,503,0,113,0.109,1,COM6
1,335485,36,rpm,983,442,36.3,36.3,3872,503,0,113,0.109,1,COM6
1,335506,36,rpm,370,442,36.3,36.3,3872,503,0,113,0.109,1,COM6
1,335526,36,rpm,-1373,442,36.3,36.3,3872,503,0,113,0.11,1,COM6
1,335547,36,rpm,-392,442,36.3,36.3,3872,503,0,113,0.11,1,COM6
1,335568,36,rpm,-41,442,36.3,36.3,3872,503,0,113,0.11,1,COM6
1,335588,36,rpm,434,442,36.3,36.3,3872,503,0,113,0.11,1,COM6
1,335609,36,rpm,593,442,36.3,36.3,3872,503,0,114,0.11,1,COM6
1,335629,36,rpm,777,442,36.3,36.3,3872,503,0,114,0.11,1,COM6
1,335650,36,rpm,831,442,36.3,36.3,3872,503,0,114,0.11,1,COM6
1,335670,36,rpm,711,442,36.3,36.3,3872,503,0,114,0.111,1,COM6
1,335691,36,rpm,839,442,36.3,36.3,3872,503,0,114,0.111,1,COM6
1,335712,36,rpm,1154,442,36.3,36.3,3872,503,0,114,0.111,1,COM6
1,335732,36,rpm,1187,442,36.3,36.3,3872,503,0,115,0.111,1,COM6
1,335753,36,rpm,782,442,36.3,36.3,3872,503,0,115,0.111,1,COM6
1,335773,36,rpm,-148,442,36.3,36.3,3872,503,0,115,0.111,1,COM6
1,335794,36,rpm,-1282,442,36.3,36.3,3872,503,0,115,0.112,1,COM6
1,335815,36,rpm,-171,442,36.3,36.3,3872,503,0,115,0.112,1,COM6
1,335835,36,rpm,99,442,36.3,36.3,3872,503,0,115,0.112,1,COM6
1,335856,36,rpm,584,442,36.3,36.3,3872,503,0,115,0.112,1,COM6
1,335876,36,rpm,700,442,36.3,36.3,3872,503,0,116,0.112,1,COM6
1,335897,36,rpm,811,442,36.3,36.3,3872,503,0,116,0.112,1,COM6
1,335917,36,rpm,777,442,36.3,36.3,3872,503,0,116,0.112,1,COM6
1,335938,36,rpm,815,442,36.3,36.3,3872,503,0,116,0.113,1,COM6
1,335959,36,rpm,930,442,36.3,36.3,3872,503,0,116,0.113,1,COM6
1,335979,36,rpm,1333,442,36.3,36.3,3872,503,0,116,0.113,1,COM6
1,336000,36,rpm,1025,442,36.3,36.3,3872,503,0,116,0.113,1,COM6
1,336020,36,rpm,369,442,36.3,36.3,3872,503,0,117,0.113,1,COM6
1,336041,36,rpm,-1334,442,36.3,36.3,3872,503,0,117,0.113,1,COM6
1,336062,36,rpm,-395,442,36.3,36.3,3872,503,0,117,0.113,1,COM6
1,336082,36,rpm,-74,442,36.3,36.3,3872,503,0,117,0.114,1,COM6
1,336103,36,rpm,376,441,36.3,36.3,3872,503,0,117,0.114,1,COM6
1,336123,36,rpm,628,441,36.3,36.3,3872,503,0,117,0.114,1,COM6
1,336144,36,rpm,725,441,36.3,36.3,3872,503,0,118,0.114,1,COM6
1,336164,36,rpm,835,441,36.3,36.3,3872,503,0,118,0.114,1,COM6
1,336185,36,rpm,718,441,36.3,36.3,3872,503,0,118,0.114,1,COM6
1,336206,36,rpm,792,441,36.3,36.3,3872,503,0,118,0.114,1,COM6
