t,sp,unit,r_flw,f_flw,rpm_cmd,rpm_sp,sps,top,cal%,vol_uL,mass_g,pumpOn,mitos,,sensirion_ul_AVG,mitos_ul_AVG,weighed_mass_g,flow_box_weight_g,,sensirion_ul_CV_raw,sensirion_ul_CV_filtered,mitos_ul_CV
294098,500,uL/min,0,0,3.1,5,333,5869,0,0,0,1,634.8,,497.3412139,412.8843249,6.83,10.135,,0.983623227,0.06454325,1.071031587
294120,500,uL/min,181,0,3.1,5,333,5869,0,0,0,1,97,,,,,,,,,
294141,500,uL/min,94,0,3.1,5,333,5869,0,0,0,1,367.8,,,,,,,,,
294162,500,uL/min,784,0,3.1,5,333,5869,0,0,0,1,657.4,,,,,,,,,
294183,500,uL/min,66,0,3.1,5,333,5869,0,0,0,1,677.2,,,,,,,,,
294204,500,uL/min,48,0,3.3,5,349,5593,0,0,0,1,624,,,,,,,,,
294225,500,uL/min,156,0,3.3,5,349,5593,0,0,0,1,-9.2,,,,,,,,,
294246,500,uL/min,884,0,3.3,5,349,5593,0,0,0,1,-163.4,,,,,,,,,
294267,500,uL/min,126,0,3.3,5,349,5593,0,0,0,1,12.6,,,,,,,,,
294288,500,uL/min,47,0,3.3,5,349,5593,0,0,0,1,639.2,,,,,,,,,
294308,500,uL/min,122,0,3.4,5,365,5350,0,0,0,1,372.6,,,,,,,,,
294329,500,uL/min,193,0,3.4,5,365,5350,0,0,0,1,676,,,,,,,,,
294350,500,uL/min,722,0,3.4,5,365,5350,0,0,0,1,663.6,,,,,,,,,
294371,500,uL/min,66,0,3.4,5,365,5350,0,0,0,1,242,,,,,,,,,
294392,500,uL/min,123,0,3.4,5,365,5350,0,0,0,1,596.2,,,,,,,,,
294413,500,uL/min,261,0,3.6,5,381,5128,0,0,0,1,733.2,,,,,,,,,
294434,500,uL/min,479,0,3.6,5,381,5128,0,0,0,1,772.8,,,,,,,,,
294455,500,uL/min,62,0,3.6,5,381,5128,0,0,0,1,407,,,,,,,,,
294476,500,uL/min,116,0,3.6,5,381,5128,0,0,0,1,-805.6,,,,,,,,,
294497,500,uL/min,367,0,3.6,5,381,5128,0,0,0,1,526.2,,,,,,,,,
294518,500,uL/min,70,0,3.7,5,396,4925,0,0,0,1,508,,,,,,,,,
294539,500,uL/min,43,0,3.7,5,396,4925,0,0,0,1,755.6,,,,,,,,,
294560,500,uL/min,77,0,3.7,5,396,4925,0,0,0,1,473,,,,,,,,,
294581,500,uL/min,105,0,3.7,5,396,4925,0,0,0,1,748.8,,,,,,,,,
294601,500,uL/min,10,0,3.7,5,396,4925,0,0,0,1,694.8,,,,,,,,,
294622,500,uL/min,-1002,0,3.9,5,412,4738,0,0,0,1,409.6,,,,,,,,,
294643,500,uL/min,-268,0,3.9,5,412,4738,0,0,0,1,671.8,,,,,,,,,
294664,500,uL/min,-82,0,3.9,5,412,4738,0,0,0,1,715.4,,,,,,,,,
294685,500,uL/min,-8,0,3.9,5,412,4738,0,0,0,1,628.2,,,,,,,,,
294706,500,uL/min,-1,1,3.9,5,412,4738,0,0,0,1,582.4,,,,,,,,,
294727,500,uL/min,-8,1,4,5,428,4567,0,0,0,1,730.6,,,,,,,,,
294748,500,uL/min,-12,1,4,5,428,4567,0,0,0,1,477.2,,,,,,,,,
294769,500,uL/min,-4,1,4,5,428,4567,0,0,0,1,720,,,,,,,,,
294790,500,uL/min,-29,1,4,5,428,4567,0,0,0,1,610.8,,,,,,,,,
294811,500,uL/min,-50,1,4,5,428,4567,0,0,0,1,762.8,,,,,,,,,
294832,500,uL/min,-29,1,4.2,5,443,4408,0,0,0,1,409.8,,,,,,,,,
294853,500,uL/min,-44,1,4.2,5,443,4408,0,0,0,1,673.4,,,,,,,,,
294874,500,uL/min,-111,1,4.2,5,443,4408,0,0,0,1,434.4,,,,,,,,,
294895,500,uL/min,-35,1,4.2,5,443,4408,0,0,0,1,73.6,,,,,,,,,
294915,500,uL/min,-47,1,4.2,5,443,4408,0,0,0,1,-46.8,,,,,,,,,
294936,500,uL/min,-74,1,4.3,5,458,4261,0,0,0,1,-470.8,,,,,,,,,
294957,500,uL/min,-26,1,4.3,5,458,4261,0,0,0,1,25.6,,,,,,,,,
294978,500,uL/min,-30,1,4.3,5,458,4261,0,0,0,1,784.6,,,,,,,,,
294999,500,uL/min,-37,1,4.3,5,458,4261,0,0,0,1,741,,,,,,,,,
295020,500,uL/min,-12,2,4.3,5,458,4261,0,0,0,1,743.6,,,,,,,,,
295041,500,uL/min,-14,2,4.4,5,474,4123,0,0,0,1,491,,,,,,,,,
295062,500,uL/min,-17,2,4.4,5,474,4123,0,0,0,1,720.2,,,,,,,,,
295083,500,uL/min,-8,2,4.4,5,474,4123,0,0,0,1,528.4,,,,,,,,,
295104,500,uL/min,-6,2,4.4,5,474,4123,0,0,0,1,748.8,,,,,,,,,
295125,500,uL/min,1,2,4.4,5,474,4123,0,0,0,1,588,,,,,,,,,
295146,500,uL/min,7,2,4.6,5,489,3995,0,0,0,1,-146.6,,,,,,,,,
295166,500,uL/min,12,2,4.6,5,489,3995,0,0,0,1,710.8,,,,,,,,,
295187,500,uL/min,70,2,4.6,5,489,3995,0,0,0,1,199.8,,,,,,,,,
295208,500,uL/min,63,3,4.6,5,489,3995,0,0,0,1,629.8,,,,,,,,,
295229,500,uL/min,65,3,4.6,5,489,3995,0,0,0,1,-811,,,,,,,,,
295250,500,uL/min,318,3,4.7,5,504,3875,0,0,0,1,550.4,,,,,,,,,
295271,500,uL/min,90,3,4.7,5,504,3875,0,0,0,1,516.6,,,,,,,,,
295292,500,uL/min,104,3,4.7,5,504,3875,0,0,0,1,-36.6,,,,,,,,,
295313,500,uL/min,458,3,4.7,5,504,3875,0,0,0,1,439.6,,,,,,,,,
295334,500,uL/min,83,3,4.7,5,504,3875,0,0,0,1,689.6,,,,,,,,,
295355,500,uL/min,164,4,4.9,5,519,3763,0,0,0,1,662,,,,,,,,,
295376,500,uL/min,793,4,4.9,5,519,3763,0,0,0,1,306.4,,,,,,,,,
295397,500,uL/min,98,4,4.9,5,519,3763,0,0,0,1,-553,,,,,,,,,
295418,500,uL/min,235,4,4.9,5,519,3763,0,0,0,1,541.4,,,,,,,,,
295438,500,uL/min,861,4,4.9,5,519,3763,0,0,0,1,408.2,,,,,,,,,
295459,500,uL/min,153,4,5,5,534,3657,0,0,0,1,666.2,,,,,,,,,
295480,500,uL/min,668,4,5,5,534,3657,0,0,0,1,-441.8,,,,,,,,,
295501,500,uL/min,481,5,5,5,534,3657,0,0,0,1,8.8,,,,,,,,,
295522,500,uL/min,241,5,5,5,534,3657,0,0,0,1,-459.2,,,,,,,,,
295563,500,uL/min,572,5,5.2,5,550,3553,0,0,0,1,390.8,,,,,,,,,
295584,500,uL/min,369,5,5.2,5,550,3553,0,0,0,1,221.8,,,,,,,,,
295605,500,uL/min,974,5,5.2,5,550,3553,0,0,0,1,792.6,,,,,,,,,
295626,500,uL/min,166,6,5.2,5,550,3553,0,0,0,1,851.4,,,,,,,,,
295647,500,uL/min,405,6,5.2,5,550,3553,0,0,0,1,638.4,,,,,,,,,
295668,500,uL/min,733,6,5.3,5,564,3463,0,0,0,1,774,,,,,,,,,
295689,500,uL/min,350,6,5.3,5,564,3463,0,0,0,1,488.4,,,,,,,,,
295710,500,uL/min,1067,6,5.3,5,564,3463,0,0,0,1,717.6,,,,,,,,,
295731,500,uL/min,147,7,5.3,5,564,3463,0,0,0,1,-62.6,,,,,,,,,
295751,500,uL/min,379,7,5.3,5,564,3463,0,0,0,1,539,,,,,,,,,
295772,500,uL/min,854,7,5.4,5,579,3375,0,0,0,1,114.8,,,,,,,,,
295793,500,uL/min,266,7,5.4,5,579,3375,0,0,0,1,7.4,,,,,,,,,
295814,500,uL/min,1095,7,5.4,5,579,3375,0,0,0,1,422.4,,,,,,,,,
295835,500,uL/min,121,8,5.4,5,579,3375,0,0,0,1,0.2,,,,,,,,,
295856,500,uL/min,379,8,5.4,5,579,3375,0,0,0,1,122.4,,,,,,,,,
295877,500,uL/min,859,8,5.6,5,593,3293,0,0,0,1,25.4,,,,,,,,,
295898,500,uL/min,338,8,5.6,5,593,3293,0,0,0,1,-66.8,,,,,,,,,
295919,500,uL/min,1095,9,5.6,5,593,3293,0,0,0,1,382.8,,,,,,,,,
295940,500,uL/min,188,9,5.6,5,593,3293,0,0,0,1,3.8,,,,,,,,,
295961,500,uL/min,445,9,5.6,5,593,3293,0,0,0,1,10.8,,,,,,,,,
295982,500,uL/min,732,10,5.7,5,607,3217,0,0,0,1,191,,,,,,,,,
296003,500,uL/min,401,10,5.7,5,607,3217,0,0,0,1,21,,,,,,,,,
296024,500,uL/min,982,10,5.7,5,607,3217,0,0,0,1,-781.8,,,,,,,,,
296045,500,uL/min,265,11,5.7,5,607,3217,0,0,0,1,-496.2,,,,,,,,,
296065,500,uL/min,1038,11,5.7,5,607,3217,0,0,0,1,500.6,,,,,,,,,
296086,500,uL/min,129,11,5.8,5,621,3146,0,0,0,1,0.2,,,,,,,,,
296107,500,uL/min,427,12,5.8,5,621,3146,0,0,0,1,499.4,,,,,,,,,
296128,500,uL/min,830,12,5.8,5,621,3146,0,0,0,1,497.4,,,,,,,,,
296149,500,uL/min,349,12,5.8,5,621,3146,0,0,0,1,730.6,,,,,,,,,
296170,500,uL/min,969,13,5.8,5,621,3146,0,0,0,1,755.4,,,,,,,,,
296191,500,uL/min,237,13,5.9,5,634,3080,0,0,0,1,462.4,,,,,,,,,
296212,500,uL/min,1026,14,5.9,5,634,3080,0,0,0,1,760.2,,,,,,,,,
296233,500,uL/min,125,14,5.9,5,634,3080,0,0,0,1,734.6,,,,,,,,,
296254,500,uL/min,439,14,5.9,5,634,3080,0,0,0,1,727,,,,,,,,,
296275,500,uL/min,623,15,5.9,5,634,3080,0,0,0,1,816.6,,,,,,,,,
296296,500,uL/min,369,15,6.1,5,647,3019,0,0,0,1,819,,,,,,,,,
296317,500,uL/min,833,16,6.1,5,647,3019,0,0,0,1,1411.4,,,,,,,,,
296338,500,uL/min,253,16,6.1,5,647,3019,0,0,0,1,5501.41,,,,,,,,,
296359,500,uL/min,822,17,6.1,5,647,3019,0,0,0,1,716.8,,,,,,,,,
296380,500,uL/min,181,18,6.1,5,647,3019,0,0,0,1,325.6,,,,,,,,,
296401,500,uL/min,813,18,6.2,5,659,2963,0,0,0,1,749.2,,,,,,,,,
296422,500,uL/min,124,19,6.2,5,659,2963,0,0,0,1,39,,,,,,,,,
296443,500,uL/min,478,19,6.2,5,659,2963,0,0,0,1,-43.4,,,,,,,,,
296464,500,uL/min,249,20,6.2,5,659,2963,0,0,0,1,-95.2,,,,,,,,,
296485,500,uL/min,281,21,6.2,5,659,2963,0,0,0,1,503.4,,,,,,,,,
296506,500,uL/min,477,21,6.3,5,671,2911,0,0,0,1,-37.6,,,,,,,,,
296527,500,uL/min,186,22,6.3,5,671,2911,0,0,0,1,6.2,,,,,,,,,
296547,500,uL/min,353,23,6.3,5,671,2911,0,0,0,1,172.4,,,,,,,,,
296568,500,uL/min,-1012,23,6.3,5,671,2911,0,0,0,1,33.2,,,,,,,,,
296589,500,uL/min,-974,24,6.3,5,671,2911,0,0,0,1,-451.8,,,,,,,,,
296610,500,uL/min,-145,25,6.4,5,682,2863,0,0,0,1,-9.8,,,,,,,,,
296631,500,uL/min,-28,26,6.4,5,682,2863,0,0,0,1,450.6,,,,,,,,,
296652,500,uL/min,11,27,6.4,5,682,2863,0,0,0,1,24.4,,,,,,,,,
296673,500,uL/min,-65,27,6.4,5,682,2863,0,0,0,1,437.6,,,,,,,,,
296694,500,uL/min,-70,28,6.4,5,682,2863,0,0,0,1,447.4,,,,,,,,,
296715,500,uL/min,-119,29,6.5,5,692,2820,0,0,0,1,-30.8,,,,,,,,,
296736,500,uL/min,-40,30,6.5,5,692,2820,0,0,0,1,-238.8,,,,,,,,,
296757,500,uL/min,-73,31,6.5,5,692,2820,0,0,0,1,747.6,,,,,,,,,
296778,500,uL/min,-28,32,6.5,5,692,2820,0,0,0,1,539,,,,,,,,,
296799,500,uL/min,-37,33,6.5,5,692,2820,0,0,0,1,718.4,,,,,,,,,
296820,500,uL/min,-13,34,6.6,5,703,2779,0,0,0,1,554.2,,,,,,,,,
296841,500,uL/min,-6,35,6.6,5,703,2779,0,0,0,1,539.4,,,,,,,,,
296862,500,uL/min,13,36,6.6,5,703,2779,0,0,0,1,739.8,,,,,,,,,
296883,500,uL/min,31,37,6.6,5,703,2779,0,0,0,1,741.4,,,,,,,,,
296904,500,uL/min,106,38,6.6,5,703,2779,0,0,0,1,732.4,,,,,,,,,
296925,500,uL/min,125,39,6.7,5,712,2741,0,0,0,1,752.8,,,,,,,,,
296946,500,uL/min,277,40,6.7,5,712,2741,0,0,0,1,719.6,,,,,,,,,
296967,500,uL/min,198,41,6.7,5,712,2741,0,0,0,1,762.6,,,,,,,,,
296988,500,uL/min,455,43,6.7,5,712,2741,0,0,0,1,749.2,,,,,,,,,
297009,500,uL/min,313,44,6.7,5,712,2741,0,0,0,1,780.4,,,,,,,,,
297030,500,uL/min,673,45,6.8,5,722,2706,0,1,0,1,196.6,,,,,,,,,
297051,500,uL/min,417,46,6.8,5,722,2706,0,1,0.001,1,746.8,,,,,,,,,
297072,500,uL/min,733,47,6.8,5,722,2706,0,1,0.001,1,433.6,,,,,,,,,
297093,500,uL/min,409,49,6.8,5,722,2706,0,1,0.001,1,787,,,,,,,,,
297113,500,uL/min,831,50,6.8,5,722,2706,0,1,0.001,1,702.8,,,,,,,,,
297134,500,uL/min,469,51,6.9,5,731,2672,0,1,0.001,1,592.4,,,,,,,,,
297155,500,uL/min,835,52,6.9,5,731,2672,0,1,0.001,1,783.6,,,,,,,,,
297176,500,uL/min,632,54,6.9,5,731,2672,0,1,0.001,1,692.8,,,,,,,,,
297197,500,uL/min,715,55,6.9,5,731,2672,0,1,0.001,1,465.2,,,,,,,,,
297218,500,uL/min,971,56,6.9,5,731,2672,0,1,0.001,1,693.6,,,,,,,,,
297239,500,uL/min,371,58,6.9,5,739,2641,0,1,0.001,1,604.2,,,,,,,,,
297260,500,uL/min,877,59,6.9,5,739,2641,0,1,0.001,1,468.2,,,,,,,,,
297281,500,uL/min,458,60,6.9,5,739,2641,0,1,0.001,1,704,,,,,,,,,
297302,500,uL/min,1049,62,6.9,5,739,2641,0,1,0.001,1,659,,,,,,,,,
297323,500,uL/min,378,63,6.9,5,739,2641,0,1,0.001,1,629.2,,,,,,,,,
297344,500,uL/min,1116,65,7,5,747,2612,0,1,0.001,1,734.8,,,,,,,,,
297365,500,uL/min,312,66,7,5,747,2612,0,1,0.001,1,770.6,,,,,,,,,
297386,500,uL/min,1122,67,7,5,747,2612,0,1,0.001,1,700.2,,,,,,,,,
297407,500,uL/min,379,69,7,5,747,2612,0,1,0.001,1,601.6,,,,,,,,,
297428,500,uL/min,1034,70,7,5,747,2612,0,1,0.001,1,601.8,,,,,,,,,
297449,500,uL/min,445,72,7.1,5,755,2585,0,1,0.001,1,669.8,,,,,,,,,
297470,500,uL/min,946,73,7.1,5,755,2585,0,1,0.001,1,697.6,,,,,,,,,
297491,500,uL/min,515,75,7.1,5,755,2585,0,1,0.001,1,744,,,,,,,,,
297512,500,uL/min,895,76,7.1,5,755,2585,0,1,0.001,1,71,,,,,,,,,
297533,500,uL/min,496,78,7.1,5,755,2585,0,1,0.001,1,766.6,,,,,,,,,
297554,500,uL/min,885,80,7.1,5,762,2561,0,1,0.001,1,127.2,,,,,,,,,
297575,500,uL/min,494,81,7.1,5,762,2561,0,1,0.001,1,757.6,,,,,,,,,
297596,500,uL/min,856,83,7.1,5,762,2561,0,1,0.001,1,735.4,,,,,,,,,
297617,500,uL/min,512,84,7.1,5,762,2561,0,1,0.001,1,324.4,,,,,,,,,
297638,500,uL/min,819,86,7.1,5,762,2561,0,1,0.001,1,563.8,,,,,,,,,
297659,500,uL/min,522,88,7.2,5,769,2538,0,1,0.001,1,743.2,,,,,,,,,
297680,500,uL/min,767,89,7.2,5,769,2538,0,1,0.001,1,122.8,,,,,,,,,
297701,500,uL/min,853,91,7.2,5,769,2538,0,1,0.001,1,295.8,,,,,,,,,
297722,500,uL/min,389,93,7.2,5,769,2538,0,1,0.001,1,565.6,,,,,,,,,
297742,500,uL/min,1008,94,7.2,5,769,2538,0,1,0.001,1,40.6,,,,,,,,,
297763,500,uL/min,239,96,7.3,5,775,2518,0,1,0.001,1,203.8,,,,,,,,,
297784,500,uL/min,836,98,7.3,5,775,2518,0,1,0.001,1,-55.4,,,,,,,,,
297805,500,uL/min,287,100,7.3,5,775,2518,0,1,0.001,1,99.6,,,,,,,,,
297826,500,uL/min,674,101,7.3,5,775,2518,0,1,0.001,1,755.4,,,,,,,,,
297847,500,uL/min,270,103,7.3,5,775,2518,0,1,0.001,1,506.2,,,,,,,,,
297868,500,uL/min,579,105,7.3,5,781,2500,0,2,0.001,1,805,,,,,,,,,
297889,500,uL/min,264,107,7.3,5,781,2500,0,2,0.002,1,505.2,,,,,,,,,
297910,500,uL/min,492,109,7.3,5,781,2500,0,2,0.002,1,767.8,,,,,,,,,
297931,500,uL/min,250,110,7.3,5,781,2500,0,2,0.002,1,603.8,,,,,,,,,
297952,500,uL/min,63,112,7.3,5,781,2500,0,2,0.002,1,785,,,,,,,,,
297973,500,uL/min,-1444,114,7.4,5,786,2484,0,2,0.002,1,659.2,,,,,,,,,
297994,500,uL/min,-664,116,7.4,5,786,2484,0,2,0.002,1,746.2,,,,,,,,,
298015,500,uL/min,-669,118,7.4,5,786,2484,0,2,0.002,1,506,,,,,,,,,
298036,500,uL/min,-34,120,7.4,5,786,2484,0,2,0.002,1,432.4,,,,,,,,,
298057,500,uL/min,-34,122,7.4,5,786,2484,0,2,0.002,1,696,,,,,,,,,
298078,500,uL/min,-84,124,7.4,5,790,2470,0,2,0.002,1,744,,,,,,,,,
298099,500,uL/min,-109,126,7.4,5,790,2470,0,2,0.002,1,689.8,,,,,,,,,
298120,500,uL/min,-70,128,7.4,5,790,2470,0,2,0.002,1,630.4,,,,,,,,,
298141,500,uL/min,-20,130,7.4,5,790,2470,0,2,0.002,1,744.8,,,,,,,,,
298162,500,uL/min,-27,132,7.4,5,790,2470,0,2,0.002,1,617.2,,,,,,,,,
298183,500,uL/min,-13,134,7.4,5,795,2457,0,2,0.002,1,717.4,,,,,,,,,
298204,500,uL/min,7,136,7.4,5,795,2457,0,2,0.002,1,737,,,,,,,,,
298225,500,uL/min,22,138,7.4,5,795,2457,0,2,0.002,1,754,,,,,,,,,
298246,500,uL/min,164,140,7.4,5,795,2457,0,2,0.002,1,723,,,,,,,,,
298267,500,uL/min,133,142,7.4,5,795,2457,0,2,0.002,1,767.2,,,,,,,,,
298288,500,uL/min,317,144,7.5,5,798,2446,0,2,0.002,1,719.6,,,,,,,,,
298309,500,uL/min,229,146,7.5,5,798,2446,0,2,0.002,1,712.8,,,,,,,,,
298330,500,uL/min,450,149,7.5,5,798,2446,0,3,0.002,1,731.2,,,,,,,,,
298351,500,uL/min,533,151,7.5,5,798,2446,0,3,0.002,1,232.8,,,,,,,,,
298372,500,uL/min,422,153,7.5,5,798,2446,0,3,0.003,1,725.2,,,,,,,,,
298393,500,uL/min,1028,155,7.5,5,802,2435,0,3,0.003,1,729,,,,,,,,,
298414,500,uL/min,309,157,7.5,5,802,2435,0,3,0.003,1,625.2,,,,,,,,,
298435,500,uL/min,942,159,7.5,5,802,2435,0,3,0.003,1,792.2,,,,,,,,,
298456,500,uL/min,506,161,7.5,5,802,2435,0,3,0.003,1,728,,,,,,,,,
298477,500,uL/min,870,164,7.5,5,802,2435,0,3,0.003,1,704.2,,,,,,,,,
298498,500,uL/min,633,166,7.5,5,805,2426,0,3,0.003,1,769.6,,,,,,,,,
298519,500,uL/min,800,168,7.5,5,805,2426,0,3,0.003,1,742.2,,,,,,,,,
298540,500,uL/min,1056,170,7.5,5,805,2426,0,3,0.003,1,815.6,,,,,,,,,
298561,500,uL/min,481,172,7.5,5,805,2426,0,3,0.003,1,785.8,,,,,,,,,
298582,500,uL/min,1276,175,7.5,5,805,2426,0,3,0.003,1,632.2,,,,,,,,,
298603,500,uL/min,531,177,7.6,5,808,2417,0,3,0.003,1,784.6,,,,,,,,,
298624,500,uL/min,876,179,7.6,5,808,2417,0,3,0.003,1,630.8,,,,,,,,,
298645,500,uL/min,620,181,7.6,5,808,2417,0,3,0.003,1,511,,,,,,,,,
298666,500,uL/min,817,183,7.6,5,808,2417,0,3,0.003,1,740.2,,,,,,,,,
298686,500,uL/min,723,186,7.6,5,808,2417,0,4,0.003,1,395,,,,,,,,,
298707,500,uL/min,762,188,7.6,5,810,2409,0,4,0.003,1,136.4,,,,,,,,,
298728,500,uL/min,1440,190,7.6,5,810,2409,0,4,0.004,1,730.8,,,,,,,,,
298749,500,uL/min,459,192,7.6,5,810,2409,0,4,0.004,1,452.6,,,,,,,,,
298770,500,uL/min,992,194,7.6,5,810,2409,0,4,0.004,1,376.2,,,,,,,,,
298791,500,uL/min,606,197,7.6,5,810,2409,0,4,0.004,1,618,,,,,,,,,
298812,500,uL/min,821,199,7.6,5,813,2402,0,4,0.004,1,686.6,,,,,,,,,
298833,500,uL/min,617,201,7.6,5,813,2402,0,4,0.004,1,719.2,,,,,,,,,
298854,500,uL/min,790,203,7.6,5,813,2402,0,4,0.004,1,469.2,,,,,,,,,
298875,500,uL/min,1125,206,7.6,5,813,2402,0,4,0.004,1,717.8,,,,,,,,,
298896,500,uL/min,372,208,7.6,5,813,2402,0,4,0.004,1,723.6,,,,,,,,,
298917,500,uL/min,1022,210,7.6,5,814,2397,0,4,0.004,1,774.4,,,,,,,,,
298938,500,uL/min,460,212,7.6,5,814,2397,0,4,0.004,1,691.4,,,,,,,,,
298959,500,uL/min,756,215,7.6,5,814,2397,0,4,0.004,1,624.6,,,,,,,,,
298980,500,uL/min,462,217,7.6,5,814,2397,0,4,0.004,1,744.2,,,,,,,,,
299001,500,uL/min,718,219,7.6,5,814,2397,0,5,0.004,1,691.6,,,,,,,,,
299022,500,uL/min,682,221,7.7,5,816,2392,0,5,0.005,1,682,,,,,,,,,
299043,500,uL/min,390,223,7.7,5,816,2392,0,5,0.005,1,752.4,,,,,,,,,
299064,500,uL/min,781,226,7.7,5,816,2392,0,5,0.005,1,108.2,,,,,,,,,
299085,500,uL/min,274,228,7.7,5,816,2392,0,5,0.005,1,782.8,,,,,,,,,
299106,500,uL/min,563,230,7.7,5,816,2392,0,5,0.005,1,750.8,,,,,,,,,
299127,500,uL/min,303,232,7.7,5,818,2388,0,5,0.005,1,422.8,,,,,,,,,
299148,500,uL/min,435,235,7.7,5,818,2388,0,5,0.005,1,612.6,,,,,,,,,
299169,500,uL/min,350,237,7.7,5,818,2388,0,5,0.005,1,799,,,,,,,,,
299190,500,uL/min,288,239,7.7,5,818,2388,0,5,0.005,1,451.6,,,,,,,,,
299211,500,uL/min,-517,241,7.7,5,818,2388,0,5,0.005,1,777,,,,,,,,,
299232,500,uL/min,-1712,244,7.7,5,818,2386,0,5,0.005,1,788.4,,,,,,,,,
299253,500,uL/min,-360,246,7.7,5,818,2386,0,6,0.005,1,504.2,,,,,,,,,
299274,500,uL/min,-70,248,7.7,5,818,2386,0,6,0.005,1,779.4,,,,,,,,,
299295,500,uL/min,7,251,7.7,5,818,2386,0,6,0.006,1,630.2,,,,,,,,,
299316,500,uL/min,-57,253,7.7,5,818,2386,0,6,0.006,1,2,,,,,,,,,
299337,500,uL/min,-75,255,7.7,5,819,2384,0,6,0.006,1,-4.8,,,,,,,,,
299358,500,uL/min,-117,257,7.7,5,819,2384,0,6,0.006,1,388,,,,,,,,,
299379,500,uL/min,-36,260,7.7,5,819,2384,0,6,0.006,1,62.6,,,,,,,,,
299400,500,uL/min,-37,262,7.7,5,819,2384,0,6,0.006,1,771,,,,,,,,,
299421,500,uL/min,-27,264,7.7,5,819,2384,0,6,0.006,1,164.8,,,,,,,,,
299442,500,uL/min,1,266,7.7,5,819,2384,0,6,0.006,1,719.8,,,,,,,,,
299463,500,uL/min,22,269,7.7,5,819,2384,0,6,0.006,1,757.8,,,,,,,,,
299484,500,uL/min,97,271,7.7,5,819,2384,0,7,0.006,1,712.4,,,,,,,,,
299505,500,uL/min,244,273,7.7,5,819,2384,0,7,0.006,1,609.8,,,,,,,,,
299526,500,uL/min,146,275,7.7,5,819,2384,0,7,0.007,1,785.4,,,,,,,,,
299547,500,uL/min,431,278,7.7,5,819,2383,0,7,0.007,1,769.2,,,,,,,,,
299568,500,uL/min,304,280,7.7,5,819,2383,0,7,0.007,1,692.4,,,,,,,,,
299588,500,uL/min,560,282,7.7,5,819,2383,0,7,0.007,1,470.2,,,,,,,,,
299609,500,uL/min,685,284,7.7,5,819,2383,0,7,0.007,1,751.2,,,,,,,,,
299630,500,uL/min,394,287,7.7,5,819,2383,0,7,0.007,1,539.2,,,,,,,,,
299651,500,uL/min,1011,289,7.7,5,819,2383,0,7,0.007,1,691.8,,,,,,,,,
299672,500,uL/min,390,291,7.7,5,819,2383,0,7,0.007,1,79,,,,,,,,,
299693,500,uL/min,949,293,7.7,5,819,2383,0,8,0.007,1,568,,,,,,,,,
299714,500,uL/min,657,295,7.7,5,819,2383,0,8,0.007,1,11.8,,,,,,,,,
299735,500,uL/min,741,297,7.7,5,819,2383,0,8,0.008,1,438.4,,,,,,,,,
299756,500,uL/min,902,300,7.7,5,819,2383,0,8,0.008,1,402.6,,,,,,,,,
299777,500,uL/min,587,302,7.7,5,819,2383,0,8,0.008,1,-22,,,,,,,,,
299798,500,uL/min,1318,304,7.7,5,819,2383,0,8,0.008,1,241.8,,,,,,,,,
299819,500,uL/min,536,306,7.7,5,819,2383,0,8,0.008,1,22,,,,,,,,,
299840,500,uL/min,872,308,7.7,5,819,2383,0,8,0.008,1,-284.6,,,,,,,,,
299861,500,uL/min,639,310,7.7,5,819,2383,0,8,0.008,1,-216,,,,,,,,,
299882,500,uL/min,775,312,7.7,5,819,2383,0,8,0.008,1,525.2,,,,,,,,,
299903,500,uL/min,808,314,7.7,5,819,2383,0,9,0.008,1,525.8,,,,,,,,,
299924,500,uL/min,586,317,7.7,5,819,2383,0,9,0.008,1,-117.6,,,,,,,,,
299945,500,uL/min,1277,319,7.7,5,819,2383,0,9,0.009,1,510.2,,,,,,,,,
299966,500,uL/min,557,321,7.7,5,819,2383,0,9,0.009,1,16.8,,,,,,,,,
299987,500,uL/min,937,323,7.7,5,819,2383,0,9,0.009,1,450,,,,,,,,,
300008,500,uL/min,664,325,7.7,5,819,2383,0,9,0.009,1,460.2,,,,,,,,,
300029,500,uL/min,793,327,7.7,5,819,2383,0,9,0.009,1,744.2,,,,,,,,,
300050,500,uL/min,1051,329,7.7,5,819,2383,0,9,0.009,1,472.6,,,,,,,,,
300071,500,uL/min,402,331,7.7,5,819,2383,0,10,0.009,1,431.4,,,,,,,,,
300092,500,uL/min,1204,333,7.7,5,819,2383,0,10,0.009,1,685.2,,,,,,,,,
300113,500,uL/min,514,335,7.7,5,819,2383,0,10,0.009,1,688.6,,,,,,,,,
300134,500,uL/min,858,337,7.7,5,819,2383,0,10,0.01,1,755.8,,,,,,,,,
300155,500,uL/min,565,339,7.7,5,819,2383,0,10,0.01,1,726.2,,,,,,,,,
300176,500,uL/min,697,341,7.7,5,819,2384,0,10,0.01,1,1427.8,,,,,,,,,
300197,500,uL/min,715,342,7.7,5,819,2384,0,10,0.01,1,5484.81,,,,,,,,,
300218,500,uL/min,520,344,7.7,5,819,2384,0,10,0.01,1,741.2,,,,,,,,,
300239,500,uL/min,945,346,7.7,5,819,2384,0,10,0.01,1,791.4,,,,,,,,,
300260,500,uL/min,322,348,7.7,5,819,2384,0,11,0.01,1,734.4,,,,,,,,,
