id,t,sp,unit,r_flw,f_flw,rpm_cmd,rpm_sp,sps,top,cal%,vol_uL,mass_g,pumpOn,port
1,13522,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM8
1,13543,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM8
3,50033,37,rpm,0,0,36.5,36.5,3893,500,0,0,0.0,1,COM6
1,13563,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM8
3,50054,37,rpm,1,0,36.5,36.5,3893,500,0,0,0.0,1,COM6
1,13584,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM8
1,13605,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM8
3,50074,37,rpm,7,0,36.5,36.5,3893,500,0,0,0.0,1,COM6
1,13625,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM8
3,50095,37,rpm,20,0,36.5,36.5,3893,500,0,0,0.0,1,COM6
1,13646,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM8
3,50116,37,rpm,28,0,36.5,36.5,3893,500,0,0,0.0,1,COM6
3,50136,37,rpm,14,0,36.5,36.5,3893,500,0,0,0.0,1,COM6
1,13666,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM8
3,50176,37,rpm,9,0,36.5,36.5,3893,500,0,0,0.0,1,COM6
1,13686,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM8
3,50196,37,rpm,25,0,36.5,36.5,3893,500,0,0,0.0,1,COM6
1,13707,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM8
3,50217,37,rpm,175,0,36.5,36.5,3893,500,0,0,0.0,1,COM6
1,13727,37,rpm,0,1,36.5,36.5,3893,500,0,0,0.0,1,COM8
3,50237,37,rpm,559,0,36.5,36.5,3893,500,0,0,0.0,1,COM6
1,13748,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM8
3,50258,37,rpm,707,0,36.5,36.5,3893,500,0,0,0.0,1,COM6
1,13768,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM8
3,50278,37,rpm,829,0,36.5,36.5,3893,500,0,0,0.0,1,COM6
3,50299,37,rpm,765,0,36.5,36.5,3893,500,0,0,0.0,1,COM6
1,13789,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM8
1,13809,37,rpm,1,1,36.5,36.5,3893,500,0,0,0.0,1,COM8
