id,t,sp,unit,r_flw,f_flw,rpm_cmd,rpm_sp,sps,top,cal%,vol_uL,mass_g,pumpOn,port
1,4542,36,rpm,0,0,0.0,36.3,0,0,0,0,-0.0,0,COM6
2,6285,37,rpm,0,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,4563,36,rpm,0,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,6306,37,rpm,-88,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,4584,36,rpm,1293,0,36.3,36.3,3872,503,0,0,-0.0,1,COM6
2,6327,37,rpm,970,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,4604,36,rpm,1027,0,36.3,36.3,3872,503,0,0,-0.0,1,COM6
2,6348,37,rpm,454,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,4625,36,rpm,610,0,36.3,36.3,3872,503,0,0,-0.0,1,COM6
2,6368,37,rpm,309,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,4645,36,rpm,-1049,0,36.3,36.3,3872,503,0,0,-0.0,1,COM6
2,6389,37,rpm,-316,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,4666,36,rpm,-481,0,36.3,36.3,3872,503,0,0,-0.0,1,COM6
2,6409,37,rpm,74,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,4686,36,rpm,-59,0,36.3,36.3,3872,503,0,0,-0.0,1,COM6
2,6430,37,rpm,418,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,4707,36,rpm,331,0,36.3,36.3,3872,503,0,0,-0.0,1,COM6
2,6450,37,rpm,842,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,4727,36,rpm,661,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,6471,37,rpm,1002,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,4748,36,rpm,840,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,6492,37,rpm,1048,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,4768,36,rpm,853,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,6512,37,rpm,820,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,4789,36,rpm,838,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,6533,37,rpm,739,0,36.8,36.8,3925,496,0,0,0.0,1,COM7
1,4809,36,rpm,880,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
