id,t,sp,unit,r_flw,f_flw,rpm_cmd,rpm_sp,sps,top,cal%,vol_uL,mass_g,pumpOn,port
1,75954,36,rpm,0,0,36.3,36.3,3872,503,0,0,0.0,1,COM6
2,83839,37,rpm,1,1,36.7,36.7,3915,497,0,0,0.0,1,COM7
1,75975,36,rpm,0,0,36.3,36.3,3872,503,0,0,-0.0,1,COM6
2,83860,37,rpm,1,1,36.7,36.7,3915,497,0,0,0.0,1,COM7
2,83880,37,rpm,1,1,36.7,36.7,3915,497,0,0,0.0,1,COM7
1,75995,36,rpm,0,0,36.3,36.3,3872,503,0,0,-0.0,1,COM6
2,83901,37,rpm,1,1,36.7,36.7,3915,497,0,0,0.0,1,COM7
1,76016,36,rpm,0,0,36.3,36.3,3872,503,0,0,-0.0,1,COM6
2,83921,37,rpm,1,1,36.7,36.7,3915,497,0,0,0.0,1,COM7
1,76036,36,rpm,0,0,36.3,36.3,3872,503,0,0,-0.0,1,COM6
2,83942,37,rpm,1,1,36.7,36.7,3915,497,0,0,0.0,1,COM7
2,83962,37,rpm,1,1,36.7,36.7,3915,497,0,0,0.0,1,COM7
2,83983,37,rpm,1,1,36.7,36.7,3915,497,0,0,0.0,1,COM7
1,76057,36,rpm,0,0,36.3,36.3,3872,503,0,0,-0.0,1,COM6
1,76078,36,rpm,0,0,36.3,36.3,3872,503,0,0,-0.0,1,COM6
1,76098,36,rpm,0,0,36.3,36.3,3872,503,0,0,-0.0,1,COM6
2,84003,37,rpm,1,1,36.7,36.7,3915,497,0,0,0.0,1,COM7
1,76119,36,rpm,0,0,36.3,36.3,3872,503,0,0,-0.0,1,COM6
2,84024,37,rpm,1,1,36.7,36.7,3915,497,0,0,0.0,1,COM7
1,76139,36,rpm,0,0,36.3,36.3,3872,503,0,0,-0.0,1,COM6
2,84045,37,rpm,1,1,36.7,36.7,3915,497,0,0,0.0,1,COM7
1,76160,36,rpm,0,0,36.3,36.3,3872,503,0,0,-0.0,1,COM6
2,84065,37,rpm,1,1,36.7,36.7,3915,497,0,0,0.0,1,COM7
